site1,site2,site3
http://www.buzzfeed.com/summeranne/women-who-prove-style-peaked-in-the-60s#-4573337137218648687,http://www.buzzfeed.com/lyapalater/celebrity-instagrams-you-need-to-see-this-week-670#-4549287555711852331,http://www.buzzfeed.com/rosiegray/state-department-reaffirms-iran-status-as-state-sponsor-of-t#-4555936269552332701
http://www.buzzfeed.com/mariahsummers/activating-a-renaissance-the-faces-of-detroits-small-busines#-4628484220129773244,http://www.buzzfeed.com/ryanhatesthis/the-first-end-of-the-year-mashup-of-2013-is-here-and-its-pre#-4620436718962825133,http://www.buzzfeed.com/dray/international-cheetah-day-is-the-one-holiday-we-sh-4666#-4621409338904078968
http://www.buzzfeed.com/adamellis/ranking-cosby-sweaters#-4640024271723197825,http://www.buzzfeed.com/ariellecalderon/the-most-memorable-chrismukkah-moments-from-the-oc#-4768196118820299678,http://www.buzzfeed.com/hunterschwarz/nelson-mandela-was-on-a-us-terror-watch-list-until-2008#-4650554057131966631
http://www.buzzfeed.com/donnad/you-will-never-be-this-creeped-out-by-anything-in-your-house#-4786669790507797596,http://www.buzzfeed.com/andrewkaczynski/rand-paul-defends-wikipedia-plagiarism#-4778612549848802279,http://www.buzzfeed.com/kmallikarjuna/and-now-for-martin-freeman-as-james-bond#-4779093379766098792
http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/josephbernstein/no-one-knows-which-console-you-should-buy#-4808786762481723235,http://www.buzzfeed.com/jordanzakarin/steve-buscemi-tribute-to-james-gandolfini#-4793021446120360931
http://www.buzzfeed.com/jwherrman/why-everyone-in-tech-needs-to-be-watching-the-good-wife#-4882828384445617947,http://www.buzzfeed.com/fjelstud/describe-your-sex-life-with-a-movie-title#-4882844390767843594,http://www.buzzfeed.com/samimain/cats-who-are-too-proud-to-admit-they-hate-snow#-4879994701095618054
http://www.buzzfeed.com/louispeitzman/why-madchen-amick-refuses-to-settle#-4922321034134362311,http://www.buzzfeed.com/dray/10-reasons-to-visit-the-zoo-that-have-little-to-do-4666#-4911608058079023802,http://www.buzzfeed.com/juliapugachevsky/recipes-for-friendsgiving-in-your-college-dorm-room#-4940984853757403480
http://www.buzzfeed.com/mrbriceno/40-things-we-learned-from-the-x-files-gpsu#-4954639704194800817,http://www.buzzfeed.com/emofly/clever-gifts-for-food-lovers#-4981913129838894116,http://www.buzzfeed.com/erikmalinowski/14-guaranteed-facts-about-tom-brady-and-peyton-mannings-14th#-4988405550691002453
http://www.buzzfeed.com/justinabarca/45-best-vine-fails-of-2013#-5004616627533645309,http://www.buzzfeed.com/mathewg5/49-vegan-gluten-free-things-to-bake-in-decem-dst2#-5004058143085571274,http://www.buzzfeed.com/samimain/this-pug-puppy-understands-how-much-you-need-to-go-home-for#-5035552041129532577
http://www.buzzfeed.com/mjs538/for-everyone-who-wants-royals-to-die#-5058180218162226678,http://www.buzzfeed.com/elysiam/the-12-most-hilariously-awkward-moments-from-kyle-mooneys-pr#-5077994301231398343,http://www.buzzfeed.com/joannaborns/types-of-travelers-you-always-see-at-the-airport#-5075505629940256846
http://www.buzzfeed.com/erikmalinowski/the-43-most-eye-boggling-football-catches-and-jukes-of-2013#-5135914024147342443,http://www.buzzfeed.com/gregs11/5-star-wars-soaps-4x67#-5084767635068346532,http://www.buzzfeed.com/lilis2/why-christmas-birthdays-are-the-worst#-5081910997623564483
http://www.buzzfeed.com/ariannarebolini/movies-to-be-thankful-for-on-thanksgiving#-5166105845010821809,http://www.buzzfeed.com/erinchack/the-king-of-snapchat-strikes-again#-5145273879370103626,http://www.buzzfeed.com/gabrielakruschewsky/charming-drake-moments-of-the-year#-519211044666407270
http://www.buzzfeed.com/skarlan/actress-maria-bello-comes-out-in-a-touching-personal-essay#-529921654962545390,http://www.buzzfeed.com/saeedjones/19-things-not-to-say-to-someone-when-they-come-out-to-you#-5218411696029892069,http://www.buzzfeed.com/danmartin/the-30-pictures-from-sherlock-youve-been-waiting-nearly-two#-5224387593266970767
http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/paulf24/21-ways-youve-transformed-from-a-freshman-to-a-se-b5ra#-5312807664285379480,http://www.buzzfeed.com/ryanhatesthis/college-students-from-suny-cortland-partied-so-hard-this-wee#-5370562295549446135
http://www.buzzfeed.com/kevintang/17-least-majestic-wolves#-5420487043414774196,http://www.buzzfeed.com/erikmalinowski/red-sox-star-jacoby-ellsbury-bolts-boston-for-rival-yankees#-5413562720917040398,http://www.buzzfeed.com/adambvary/hunger-games-catching-fire-jena-malone-jeffrey-wright#-5379273144495278335
http://www.buzzfeed.com/mjkiebus/ridiculous-soccer-dives-guaranteed-to-make-you-angry#-5473837568965899385,http://www.buzzfeed.com/ryanhatesthis/a-middle-schooler-sent-the-rapper-aap-rocky-a-really-adorabl#-5525965182878894055,http://www.buzzfeed.com/mattbellassai/the-absolute-greatest-dog-gifs-of-2013#-5537218739302186896
http://www.buzzfeed.com/jacobfischler/11-conversations-that-need-to-be-banned-at-thanksgiving-this#-5555550740158720234,http://www.buzzfeed.com/emofly/most-important-food-things-2013#-55632290424172519,http://www.buzzfeed.com/kevintang/meet-japans-biggest-werewolf-nu-metal-band#-558239582375883503
http://www.buzzfeed.com/mikehayes/newtown-high-school-football-ends-season-dedicated-to-sandy#-5627186015111116605,http://www.buzzfeed.com/ludwigwittgenstein/fantastic-ways-to-distinguish-between-sense-and-nonsense#-564961941650455217,http://www.buzzfeed.com/tanyachen/ways-your-childhood-fantasy-of-living-like-the-jetsons-is#-5645681517953799135
http://www.buzzfeed.com/caitleg/the-17-best-free-ideas-offered-by-evan-mcmorris-b7s7#-5661872051671076027,http://www.buzzfeed.com/spenceralthouse/29-signs-youre-stuck-in-the-90s#-5670342527339397538,http://www.buzzfeed.com/rachelysanders/legitimately-awesome-cookie-cutters#-5666379320756498667
http://www.buzzfeed.com/catscarlett/weird-fan-art-of-brian-from-afamily-guya-go1w#-5715033708600240819,http://www.buzzfeed.com/mackenziekruvant/signs-youre-obsessed-with-christmas#-5726861921960334853,http://www.buzzfeed.com/mrloganrhoades/the-25-best-buzzer-beaters-of-2013#-5727789675363089741
http://www.buzzfeed.com/jessicamisener/19-gifs-we-should-all-retire-in-2014#-5731086143588533506,http://www.buzzfeed.com/katenocera/members-of-congress-stand-by-third-way#-5728266890940768856,http://www.buzzfeed.com/kmallikarjuna/jaw-dropping-photos-of-space-taken-in-2013#-5734539112032438643
http://www.buzzfeed.com/jordanzakarin/12-posters-that-totally-spoiled-the-movie#-5754097056416214876,http://www.buzzfeed.com/catesevilla/40-things-only-internet-feminists-will-understand#-5754086760929396075,http://www.buzzfeed.com/skarlan/13-reasons-to-be-thankful-for-the-existance-of-billie-jean-k#-5760191723317737823
http://www.buzzfeed.com/mylestanzer/miss-new-yorks-comeback-is-going-to-take-a-bit-longer-than-e#-5771460699019202661,http://www.buzzfeed.com/kevintang/chinas-singles-day-may-be-the-worlds-largest-craziest-online#-5772217424959661418,http://www.buzzfeed.com/mackenziekruvant/signs-youre-a-morning-person#-5783493734454131744
http://www.buzzfeed.com/tanyachen/experiences-you-only-have-at-asian-supermarkets#-5815226720893859124,http://www.buzzfeed.com/leonoraepstein/amusing-vintage-photos-of-past-t-giving-day-parades#-5839132965545205213,http://www.buzzfeed.com/katienotopoulos/the-rich-guys-with-lions-of-instagram#-5889371078510273063
