site1,site2,site3
http://www.buzzfeed.com/tnwhiskeywoman/ava-duvernay-is-used-to-being-her-own-shonda-rhimes#-3185931980057556633,http://www.buzzfeed.com/mackenziekruvant/signs-youre-obsessed-with-christmas#-5726861921960334853,http://www.buzzfeed.com/sapna/cinnabon-flavored-vodka-is-about-to-become-a-reality#7691949180849798958
http://www.buzzfeed.com/krayford/23-reasons-to-celebrate-one-direction-ep5q#9159365256059250810,http://www.buzzfeed.com/joelanderson/12-dead-240-injured-following-world-cup-celebrations-in-alge#1894128511935983997,http://www.buzzfeed.com/jacobfischler/the-fbi-ended-its-ad-campaign-to-find-americas-longest-held#-6319346756934671180
http://www.buzzfeed.com/arianelange/hollywood-postcard-perfect-vintage-postcards#1290093445954218619,http://www.buzzfeed.com/rachelzarrell/someone-needs-to-tell-martha-stewart-her-food-tweets-are-dis#-8053025852945147181,http://www.buzzfeed.com/tabathaleggett/there-is-a-20cm-antelope-at-chester-zoo#1677814005588843553
http://www.buzzfeed.com/lyapalater/16-celebrity-instagrams-you-need-to-see-this-week-64579#9194412843612864636,http://www.buzzfeed.com/erinlarosa/why-2013-was-the-best-year-ever-for-redheads#-3900681721805901552,http://www.buzzfeed.com/mattlynley/apples-cash-pile-to-grow-0198-after-beating-samsung-in-court#8574556165292695383
http://www.buzzfeed.com/rachelysanders/big-bundts#3576178963963786129,http://www.buzzfeed.com/erinlarosa/how-to-make-an-adorable-and-vegetarian-turkey-for-thanksgivi#1307384183500904535,http://www.buzzfeed.com/mjkiebus/fan-bases-god-hated-most-in-2013#-9186692584906204549
http://www.buzzfeed.com/lyapalater/the-official-ranking-of-the-45-hottest-jewish-women-in-holly#7832204491407004332,http://www.buzzfeed.com/justinabarca/8-fun-facts-about-dan-harmons-new-animated-show-rick-and-mor#7813251389406489450,http://www.buzzfeed.com/erikmalinowski/the-best-gifs-of-nfl-week-13-like-tears-in-rain#6003273631229770318
http://www.buzzfeed.com/jenlewis/private-islands-that-cost-less-than-an-nyu-degree#8011701360341280862,http://www.buzzfeed.com/andrewkaczynski/the-sad-final-demise-of-the-daily-download#-7176571559368532645,http://www.buzzfeed.com/chrisstokelwalker/the-mystery-of-chessboxing#4167090146610975623
http://www.buzzfeed.com/samimain/meet-the-most-important-french-bulldog-in-all-of-sweden#-6444848109978071404,http://www.buzzfeed.com/alisonvingiano/survivors-of-typhoon-haiyan-share-photos-and-videos-of-devas#4034082596416144802,http://www.buzzfeed.com/josephbernstein/no-one-knows-which-console-you-should-buy#-4808786762481723235
http://www.buzzfeed.com/joelanderson/the-talent-factory-behind-andre-agassi-and-monica-seles-has#-7953375967640335809,http://www.buzzfeed.com/tanyachen/hot-guys-we-lost-to-relationships-in-2013#3993468617514674526,http://www.buzzfeed.com/chrisritter16/was-kanyes-new-video-inspired-by-a-brooklyn-artists-work#6691923327102781918
http://www.buzzfeed.com/chelseamarshall/21-bunny-tongues-that-will-melt-your-heart#-3755932028259763043,http://www.buzzfeed.com/jessicamisener/what-its-like-being-a-vegetarian-at-thanksgiving#-3885374825003559221,http://www.buzzfeed.com/cuties/animals-that-will-always-be-fun-sized#-3537549527111290940
http://www.buzzfeed.com/rachelzarrell/house-of-cards-is-going-to-ruin-your-valentines-day#3491559969825201637,http://www.buzzfeed.com/erinlarosa/20-companies-with-amazing-employee-perks#5205413572117742858,http://www.buzzfeed.com/lyapalater/celebrity-tweets-you-missed-today-49648957#-84986849956460276
